3DQVgcqaP3iSMbaKsd57l5,6WrnSlcN0dzTO80mVVbBto,I Bet You Look Good On The Dancefloor,Do You Want To,0.08
3DQVgcqaP3iSMbaKsd57l5,2zzLRQ78kKfPTx8FJQCdC2,I Bet You Look Good On The Dancefloor,When The Sun Goes Down,0.07
3DQVgcqaP3iSMbaKsd57l5,3GBApU0NuzH4hKZq4NOSdA,I Bet You Look Good On The Dancefloor,What You Know,0.07
3DQVgcqaP3iSMbaKsd57l5,5FVd6KXrgO9B3JPmC8OPst,I Bet You Look Good On The Dancefloor,Do I Wanna Know?,0.08
3DQVgcqaP3iSMbaKsd57l5,3RiPr603aXAoi4GHyXx0uy,I Bet You Look Good On The Dancefloor,Hymn for the Weekend,0.08
3DQVgcqaP3iSMbaKsd57l5,5XeFesFbtLpXzIVDNQP22n,I Bet You Look Good On The Dancefloor,I Wanna Be Yours,0.08
6WrnSlcN0dzTO80mVVbBto,3GBApU0NuzH4hKZq4NOSdA,Do You Want To,What You Know,0.18
6WrnSlcN0dzTO80mVVbBto,5FVd6KXrgO9B3JPmC8OPst,Do You Want To,Do I Wanna Know?,0.13
2zzLRQ78kKfPTx8FJQCdC2,3RiPr603aXAoi4GHyXx0uy,When The Sun Goes Down,Hymn for the Weekend,0.12
3GBApU0NuzH4hKZq4NOSdA,5FVd6KXrgO9B3JPmC8OPst,What You Know,Do I Wanna Know?,0.19
5FVd6KXrgO9B3JPmC8OPst,5XeFesFbtLpXzIVDNQP22n,Do I Wanna Know?,I Wanna Be Yours,0.3
